Year,Maize_Production
1961,226000
1962,220000
1963,182889
1964,172728
1965,209001
1966,402100
1967,342917
1968,301056
1969,304000
1970,481600
1971,465400
1972,402400
1973,426800
1974,485700
1975,343400
1976,286000
1977,274000
1978,218000
1979,380000
1980,382000
1981,378000
1982,346000
1983,172000
1984,696000
1985,584000
1986,559100
1987,597700
1988,751000
1989,715000
1990,552600
1991,931500
1992,730600
1993,960900
1994,939908
1995,1034300
1996,1007610
1997,996000
1998,1034500
1999,1014450
2000,1012700
2001,937973
2002,1400000
2003,1288600
2004,1157621
2005,1171000
2006,1189000
2007,1219600
2008,1470080
2009,1619590
2010,1871695
2011,1683984
2012,1949897
2013,1764477
2014,1762000
2015,1691643.9
2016,1721910.12
2017,2011179.42
2018,2306383.95
2019,2911000
2020,3071000
2021,3203000
2022,3255718
2023,3619000
